127.0.0.1 - - [18/Nov/2017:14:22:50 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:46 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=6&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:46 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=5&index=0 HTTP/1.1" 500 4235
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/product/productDetail?code=18 HTTP/1.1" 200 15031
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=18&index=0 HTTP/1.1" 500 3827
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/resources/images/history2.png HTTP/1.1" 200 20405
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/resources/images/sp_star.gif HTTP/1.1" 200 4518
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=18&index=1 HTTP/1.1" 500 3833
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/resources/images/seriouslytired.png HTTP/1.1" 200 3354987
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:24:49 +0900] "GET /auc/product/displayProductImg1?user_id=aaaaa&product_code=18&index=0 HTTP/1.1" 500 3827
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:15 +0900] "GET /auc/product/registerProduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:15 +0900] "GET /auc/user/login HTTP/1.1" 200 4379
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:15 +0900] "GET /auc/resources/images/A_login_01.gif HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/A_login_02.gif HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/D_login_button.gif HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/E_register.gif HTTP/1.1" 200 587
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/F_facebook.gif HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/login_naver.jpg HTTP/1.1" 200 7063
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/login_kakao.jpg HTTP/1.1" 200 6955
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/G_id_search.gif HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/resources/images/H_password_search.gif HTTP/1.1" 200 596
0:0:0:0:0:0:0:1 - - [18/Nov/2017:14:26:16 +0900] "GET /auc/user/login HTTP/1.1" 200 4379
