0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:31 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:31 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:31 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:32 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:32 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:32 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:33 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:33 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:33 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:33 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [09/Jun/2017:14:54:34 +0900] "GET /auc/ebay_productDetail.jsp?autorefresh=true&autorefresh=true HTTP/1.1" 200 185401
